|Requirement Number|Requirement Description|Artifact Number|Artifact Name|Artifact Description|Class/Interface Name|Module/File Name|Key Methods/Responsibilities|Data Model Attributes|Error/Event Codes|Sequence/Interaction Example|
|1.1|Enable new retail investors to use advanced institutional trading capabilities|APP-1|User Interface (CLI Wizard)|Interactive configuration wizard for user onboarding and setup|UserInterfaceCLIWizard|user_interface_cli_wizard.py|run() prompt_user() display_menu()|N/A|N/A|User launches CLI; prompted for onboarding|
|1.2|Most automated and simplest usage possible|APP-1|User Interface (CLI Wizard)|Interactive configuration wizard for user onboarding and setup|UserInterfaceCLIWizard|user_interface_cli_wizard.py|run() prompt_user() display_menu()|N/A|N/A|User launches CLI; prompted for onboarding|
|1.3|Simple user experience|APP-1|User Interface (CLI Wizard)|Interactive configuration wizard for user onboarding and setup|UserInterfaceCLIWizard|user_interface_cli_wizard.py|run() prompt_user() display_menu()|N/A|N/A|User launches CLI; prompted for onboarding|
|2.1|Cross-platform support (Windows macOS Linux)|TECH-1|Platform Abstraction Layer|Ensures compatibility and OS-specific handling|PlatformAbstractionLayer|platform_abstraction.py|detect_os() get_path()|N/A|N/A|N/A|
|2.1.1|Windows as first release target|TECH-1|Platform Abstraction Layer|Ensures compatibility and OS-specific handling|PlatformAbstractionLayer|platform_abstraction.py|detect_os() get_path()|N/A|N/A|N/A|
|2.2|Primary use in Canada|DATA-1|Localization Module|Handles region-specific settings and data|LocalizationModule|localization.py|get_locale() set_locale()|region language|N/A|N/A|
|2.3|Data sources and market feeds|DATA-2|Market Data Adapter|Abstracts and manages all market data sources|MarketDataAdapter|market_data_adapter.py|fetch_data() subscribe()|source symbol|N/A|fetch_data() called by AnalysisEngine|
|2.4|Multi-asset coverage (stocks)|DATA-2|Market Data Adapter|Abstracts and manages all market data sources|MarketDataAdapter|market_data_adapter.py|fetch_data() subscribe()|source symbol|N/A|fetch_data() called by AnalysisEngine|
|3.1.1.1|User inputs total funds|APP-2|Funds Input Component|UI and logic for user to input available funds|FundsInputComponent|funds_input.py|prompt_funds() validate_funds()|amount|N/A|User prompted for funds|
|3.1.1.2|Connects to broker account|APP-3|Broker Connection Manager|Handles authentication and connection to broker APIs|BrokerConnectionManager|broker_connection.py|connect() authenticate()|status|N/A|connect() called by CLI|
|3.1.2.1|Execution cycles in modes|APP-4|Execution Cycle Controller|Manages BackTesting and Live modes|ExecutionCycleController|execution_cycle.py|start_cycle() stop_cycle()|mode|N/A|start_cycle() called by CLI|
|3.1.2.1.1|BackTesting mode|APP-4|Execution Cycle Controller|Manages BackTesting and Live modes|ExecutionCycleController|execution_cycle.py|start_cycle() stop_cycle()|mode|N/A|start_cycle(mode='backtest')|
|3.1.2.1.2|Live mode|APP-4|Execution Cycle Controller|Manages BackTesting and Live modes|ExecutionCycleController|execution_cycle.py|start_cycle() stop_cycle()|mode|N/A|start_cycle(mode='live')|
|3.1.2.2|Live mode confirmation|APP-5|Live Mode Confirmation Dialog|Prompts user for explicit confirmation|LiveModeConfirmationDialog|live_mode_confirmation.py|prompt_confirmation()|N/A|N/A|User prompted for confirmation|
|3.1.2.3|Pull broker/instrument fees|DATA-3|FEE Data Fetcher|Fetches and manages fee data from broker|FEEDataFetcher|fee_data_fetcher.py|fetch_fees()|broker instrument|N/A|fetch_fees() called on startup|
|3.1.3.1|Retrieve fees on startup|DATA-3|FEE Data Fetcher|Fetches and manages fee data from broker|FEEDataFetcher|fee_data_fetcher.py|fetch_fees()|broker instrument|N/A|fetch_fees() called on startup|
|3.1.4.1|User-defined persistent watchlist|DATA-4|Watchlist Manager|Manages persistent watchlist and Google Drive sync|WatchlistManager|watchlist_manager.py|load_watchlist() sync_with_drive()|symbols|N/A|load_watchlist() on startup|
|3.1.4.2|Watchlist sync from Google Drive|DATA-4|Watchlist Manager|Manages persistent watchlist and Google Drive sync|WatchlistManager|watchlist_manager.py|load_watchlist() sync_with_drive()|symbols|N/A|sync_with_drive() scheduled|
|3.1.5.1|Unified audit log|DATA-5|Audit Log Engine|Centralized logging for orders rejections confirmations|AuditLogEngine|audit_log.py|log_event() get_logs()|event_id timestamp details|E10001|log_event() called on order|
|3.1.5.1.1|Unique identifier for log entries|DATA-5|Audit Log Engine|Centralized logging for orders rejections confirmations|AuditLogEngine|audit_log.py|log_event() get_logs()|event_id timestamp details|E10001|log_event() called on order|
|3.1.5.1.2|Timestamp order details P&L|DATA-5|Audit Log Engine|Centralized logging for orders rejections confirmations|AuditLogEngine|audit_log.py|log_event() get_logs()|event_id timestamp details|E10001|log_event() called on order|
|3.1.5.1.3|Call stack reference in log|DATA-5|Audit Log Engine|Centralized logging for orders rejections confirmations|AuditLogEngine|audit_log.py|log_event() get_logs()|event_id timestamp details|E10001|log_event() called on order|
|4.1.1|Simple configuration interface|APP-6|Config UI|User interface for grouped expandable/collapsible settings|ConfigUI|config_ui.py|display_settings() update_setting()|setting value|N/A|display_settings() on config|
|4.1.2|No manual file editing|APP-6|Config UI|User interface for grouped expandable/collapsible settings|ConfigUI|config_ui.py|display_settings() update_setting()|setting value|N/A|display_settings() on config|
|4.1.3|Configuration wizard|APP-1|User Interface (CLI Wizard)|Interactive configuration wizard for user onboarding and setup|UserInterfaceCLIWizard|user_interface_cli_wizard.py|run() prompt_user() display_menu()|N/A|N/A|User launches CLI; prompted for onboarding|
|4.2.1|Step-by-step installer|APP-7|Installer/Setup Engine|Automates environment setup and initial config|InstallerSetupEngine|installer_setup.py|run_install() check_dependencies()|N/A|N/A|run_install() on first launch|
|4.3.1|Centralized human-readable config|DATA-6|Config Store|Centralized SQLite config with inline help|ConfigStore|config_store.py|load_config() save_config()|setting value|N/A|load_config() on startup|
|4.3.2|Default values and explanations|DATA-6|Config Store|Centralized SQLite config with inline help|ConfigStore|config_store.py|load_config() save_config()|setting value|N/A|load_config() on startup|
|4.4.1|Interactive mode selection|APP-8|Mode Selection Menu|Menu for BackTesting/Live mode selection|ModeSelectionMenu|mode_selection.py|display_modes() select_mode()|mode|N/A|display_modes() on startup|
|4.5.1|Abstraction of advanced features|APP-9|Feature Abstraction Layer|Wraps advanced features behind simple options|FeatureAbstractionLayer|feature_abstraction.py|wrap_feature()|N/A|N/A|wrap_feature() called by CLI|
|4.6.1|Plain language errors|APP-10|Error Handler|User-facing error handler with actionable suggestions|ErrorHandler|error_handler.py|handle_error() show_help()|error_code message|E10002|handle_error() on error|
|4.6.2|Contextual help on errors|APP-10|Error Handler|User-facing error handler with actionable suggestions|ErrorHandler|error_handler.py|handle_error() show_help()|error_code message|E10002|handle_error() on error|
|4.7.1|Scale In/Out order logic|APP-11|Order Management Engine|Handles scale in/out and bracket order adjustments|OrderManagementEngine|order_management.py|place_order() adjust_bracket()|order_id type|N/A|place_order() on scale in/out|
|4.7.2|Bracket order adjustment|APP-11|Order Management Engine|Handles scale in/out and bracket order adjustments|OrderManagementEngine|order_management.py|place_order() adjust_bracket()|order_id type|N/A|adjust_bracket() on order|
|5.1.1|Backtesting dataset|DATA-7|Backtest Data Loader|Loads and manages backtest datasets|BacktestDataLoader|backtest_data_loader.py|load_dataset() get_data()|symbol timeframe|N/A|load_dataset() on backtest|
|5.1.2|KPI logging per strategy|DATA-8|KPI Logger|Logs KPIs for each strategy|KPILogger|kpi_logger.py|log_kpi() get_kpis()|strategy kpi_type value|N/A|log_kpi() on backtest|
|5.1.3|Results persistence|DATA-8|KPI Logger|Logs KPIs for each strategy|KPILogger|kpi_logger.py|log_kpi() get_kpis()|strategy kpi_type value|N/A|log_kpi() on backtest|
|5.1.4|Re-run on fee change|APP-4|Execution Cycle Controller|Manages BackTesting and Live modes|ExecutionCycleController|execution_cycle.py|start_cycle() stop_cycle()|mode|N/A|start_cycle() called by CLI|
|5.1.5|Recession period baselines|DATA-7|Backtest Data Loader|Loads and manages backtest datasets|BacktestDataLoader|backtest_data_loader.py|load_dataset() get_data()|symbol timeframe|N/A|load_dataset() on backtest|
|5.1.6|Simulate regime transitions and stop-loss/TP logic across all bars|APP-12|Backtest Engine|Simulates regime transitions and stop-loss/TP logic|BacktestEngine|backtest_engine.py|simulate_regime_transitions() simulate_stop_loss_tp()|N/A|N/A|simulate_regime_transitions() on backtest|
|5.1.7|Simulated trades must be logged with outcome scored|DATA-8|KPI Logger|Logs KPIs for each strategy|KPILogger|kpi_logger.py|log_simulated_trade()|trade_id, outcome, score|N/A|log_simulated_trade() on backtest|
|5.1.8|Session-level KPIs must be persisted including: Total return, Max drawdown, Win/loss rate, Sharpe ratio|DATA-8|KPI Logger|Logs KPIs for each strategy|KPILogger|kpi_logger.py|log_session_kpis()|total_return, max_drawdown, win_loss_rate, sharpe_ratio|N/A|log_session_kpis() on backtest|
|5.1.9|Must support multi-scenario runs: trade halt, market crash, recession, normal, inflation, 1929 style depression|APP-12|Backtest Engine|Simulates multi-scenario runs|BacktestEngine|backtest_engine.py|run_scenario()|scenario_type|N/A|run_scenario() on backtest|
|5.3.1|Training log for ML/AI|DATA-9|Training Log Engine|Logs for ML/AI training and auto-tuning|TrainingLogEngine|training_log_engine.py|log_training_data()|training_id, data|N/A|log_training_data() on training event|
